siteID,dateCollected,pelletLength,pelletDryMass,pelletID,species,genus,numberOfIndividuals,vertOrInvert
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,"Armadillidium sp. Brandt, 1831",Armadillidium,1,Invertebrate
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,"Calathus sp. Bonelli, 1810",Calathus,4,Invertebrate
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,"Forficula auricularia Linnaeus, 1758",Forficula,23,Invertebrate
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,Rodentia sp.,Rodentia,1,Vertebrate
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
H31,2020-12-10,1.9,0.441,UCSB-IZC00041840,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,"Armadillidium sp. Brandt, 1831",Armadillidium,35,Invertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,"Calathus sp. Bonelli, 1810",Calathus,7,Invertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,"Forficula auricularia Linnaeus, 1758",Forficula,78,Invertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,2,Vertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,Rodentia sp.,Rodentia,0,Vertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3N,2021-07-04,2.4,1.264,UCSB-IZC00043586,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,"Calathus sp. Bonelli, 1810",Calathus,0,Invertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,"Forficula auricularia Linnaeus, 1758",Forficula,10,Invertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,"Mus musculus Linnaeus, 1758",Mus,2,Vertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,Rodentia sp.,Rodentia,0,Vertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3N,2021-07-04,3.6,1.806,UCSB-IZC00043593,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3N,2021-07-01,1.7,0.326,UCSB-IZC00044826,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3N,2021-07-01,1.7,0.326,UCSB-IZC00044826,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB3N,2021-07-01,1.7,0.326,UCSB-IZC00044826,"Calathus sp. Bonelli, 1810",Calathus,12,Invertebrate
AB3N,2021-07-01,1.7,0.326,UCSB-IZC00044826,"Forficula auricularia Linnaeus, 1758",Forficula,18,Invertebrate
AB3N,2021-07-01,1.7,0.326,UCSB-IZC00044826,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3N,2021-07-01,1.7,0.326,UCSB-IZC00044826,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3N,2021-07-01,1.7,0.326,UCSB-IZC00044826,Rodentia sp.,Rodentia,0,Vertebrate
AB3N,2021-07-01,1.7,0.326,UCSB-IZC00044826,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3N,2021-07-01,1.7,0.326,UCSB-IZC00044826,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3N,2021-01-20,2.8,0.786,UCSB-IZC00044827,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3N,2021-01-20,2.8,0.786,UCSB-IZC00044827,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB3N,2021-01-20,2.8,0.786,UCSB-IZC00044827,"Calathus sp. Bonelli, 1810",Calathus,24,Invertebrate
AB3N,2021-01-20,2.8,0.786,UCSB-IZC00044827,"Forficula auricularia Linnaeus, 1758",Forficula,25,Invertebrate
AB3N,2021-01-20,2.8,0.786,UCSB-IZC00044827,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3N,2021-01-20,2.8,0.786,UCSB-IZC00044827,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,2,Vertebrate
AB3N,2021-01-20,2.8,0.786,UCSB-IZC00044827,Rodentia sp.,Rodentia,0,Vertebrate
AB3N,2021-01-20,2.8,0.786,UCSB-IZC00044827,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3N,2021-01-20,2.8,0.786,UCSB-IZC00044827,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3N,2020-12-04,3.7,1.655,UCSB-IZC00044853,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3N,2020-12-04,3.7,1.655,UCSB-IZC00044853,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB3N,2020-12-04,3.7,1.655,UCSB-IZC00044853,"Calathus sp. Bonelli, 1810",Calathus,1,Invertebrate
AB3N,2020-12-04,3.7,1.655,UCSB-IZC00044853,"Forficula auricularia Linnaeus, 1758",Forficula,5,Invertebrate
AB3N,2020-12-04,3.7,1.655,UCSB-IZC00044853,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3N,2020-12-04,3.7,1.655,UCSB-IZC00044853,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3N,2020-12-04,3.7,1.655,UCSB-IZC00044853,Rodentia sp.,Rodentia,0,Vertebrate
AB3N,2020-12-04,3.7,1.655,UCSB-IZC00044853,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,1,Vertebrate
AB3N,2020-12-04,3.7,1.655,UCSB-IZC00044853,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB2S,2020-10-12,1.4,0.226,UCSB-IZC00044854,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB2S,2020-10-12,1.4,0.226,UCSB-IZC00044854,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB2S,2020-10-12,1.4,0.226,UCSB-IZC00044854,"Calathus sp. Bonelli, 1810",Calathus,56,Invertebrate
AB2S,2020-10-12,1.4,0.226,UCSB-IZC00044854,"Forficula auricularia Linnaeus, 1758",Forficula,39,Invertebrate
AB2S,2020-10-12,1.4,0.226,UCSB-IZC00044854,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB2S,2020-10-12,1.4,0.226,UCSB-IZC00044854,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB2S,2020-10-12,1.4,0.226,UCSB-IZC00044854,Rodentia sp.,Rodentia,0,Vertebrate
AB2S,2020-10-12,1.4,0.226,UCSB-IZC00044854,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB2S,2020-10-12,1.4,0.226,UCSB-IZC00044854,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3N,2020-12-04,1.6,0.615,UCSB-IZC00044859,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3N,2020-12-04,1.6,0.615,UCSB-IZC00044859,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB3N,2020-12-04,1.6,0.615,UCSB-IZC00044859,"Calathus sp. Bonelli, 1810",Calathus,25,Invertebrate
AB3N,2020-12-04,1.6,0.615,UCSB-IZC00044859,"Forficula auricularia Linnaeus, 1758",Forficula,39,Invertebrate
AB3N,2020-12-04,1.6,0.615,UCSB-IZC00044859,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3N,2020-12-04,1.6,0.615,UCSB-IZC00044859,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3N,2020-12-04,1.6,0.615,UCSB-IZC00044859,Rodentia sp.,Rodentia,1,Vertebrate
AB3N,2020-12-04,1.6,0.615,UCSB-IZC00044859,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3N,2020-12-04,1.6,0.615,UCSB-IZC00044859,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB2S,2020-10-12,2.1,0.623,UCSB-IZC00044860,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB2S,2020-10-12,2.1,0.623,UCSB-IZC00044860,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB2S,2020-10-12,2.1,0.623,UCSB-IZC00044860,"Calathus sp. Bonelli, 1810",Calathus,20,Invertebrate
AB2S,2020-10-12,2.1,0.623,UCSB-IZC00044860,"Forficula auricularia Linnaeus, 1758",Forficula,16,Invertebrate
AB2S,2020-10-12,2.1,0.623,UCSB-IZC00044860,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB2S,2020-10-12,2.1,0.623,UCSB-IZC00044860,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,1,Vertebrate
AB2S,2020-10-12,2.1,0.623,UCSB-IZC00044860,Rodentia sp.,Rodentia,0,Vertebrate
AB2S,2020-10-12,2.1,0.623,UCSB-IZC00044860,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB2S,2020-10-12,2.1,0.623,UCSB-IZC00044860,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB2S,2020-10-12,3,1.187,UCSB-IZC00044866,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB2S,2020-10-12,3,1.187,UCSB-IZC00044866,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB2S,2020-10-12,3,1.187,UCSB-IZC00044866,"Calathus sp. Bonelli, 1810",Calathus,12,Invertebrate
AB2S,2020-10-12,3,1.187,UCSB-IZC00044866,"Forficula auricularia Linnaeus, 1758",Forficula,36,Invertebrate
AB2S,2020-10-12,3,1.187,UCSB-IZC00044866,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB2S,2020-10-12,3,1.187,UCSB-IZC00044866,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,3,Vertebrate
AB2S,2020-10-12,3,1.187,UCSB-IZC00044866,Rodentia sp.,Rodentia,0,Vertebrate
AB2S,2020-10-12,3,1.187,UCSB-IZC00044866,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB2S,2020-10-12,3,1.187,UCSB-IZC00044866,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
Pyramid Rock,2020-12-21,2.5,0.753,UCSB-IZC00045486,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
Pyramid Rock,2020-12-21,2.5,0.753,UCSB-IZC00045486,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
Pyramid Rock,2020-12-21,2.5,0.753,UCSB-IZC00045486,"Calathus sp. Bonelli, 1810",Calathus,9,Invertebrate
Pyramid Rock,2020-12-21,2.5,0.753,UCSB-IZC00045486,"Forficula auricularia Linnaeus, 1758",Forficula,6,Invertebrate
Pyramid Rock,2020-12-21,2.5,0.753,UCSB-IZC00045486,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
Pyramid Rock,2020-12-21,2.5,0.753,UCSB-IZC00045486,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
Pyramid Rock,2020-12-21,2.5,0.753,UCSB-IZC00045486,Rodentia sp.,Rodentia,1,Vertebrate
Pyramid Rock,2020-12-21,2.5,0.753,UCSB-IZC00045486,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
Pyramid Rock,2020-12-21,2.5,0.753,UCSB-IZC00045486,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB2S,2021-04-16,2.7,0.984,UCSB-IZC00045491,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB2S,2021-04-16,2.7,0.984,UCSB-IZC00045491,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB2S,2021-04-16,2.7,0.984,UCSB-IZC00045491,"Calathus sp. Bonelli, 1810",Calathus,2,Invertebrate
AB2S,2021-04-16,2.7,0.984,UCSB-IZC00045491,"Forficula auricularia Linnaeus, 1758",Forficula,10,Invertebrate
AB2S,2021-04-16,2.7,0.984,UCSB-IZC00045491,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB2S,2021-04-16,2.7,0.984,UCSB-IZC00045491,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB2S,2021-04-16,2.7,0.984,UCSB-IZC00045491,Rodentia sp.,Rodentia,2,Vertebrate
AB2S,2021-04-16,2.7,0.984,UCSB-IZC00045491,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB2S,2021-04-16,2.7,0.984,UCSB-IZC00045491,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3S,2021-04-16,1.6,0.497,UCSB-IZC00045499,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3S,2021-04-16,1.6,0.497,UCSB-IZC00045499,"Armadillidium sp. Brandt, 1831",Armadillidium,15,Invertebrate
AB3S,2021-04-16,1.6,0.497,UCSB-IZC00045499,"Calathus sp. Bonelli, 1810",Calathus,1,Invertebrate
AB3S,2021-04-16,1.6,0.497,UCSB-IZC00045499,"Forficula auricularia Linnaeus, 1758",Forficula,36,Invertebrate
AB3S,2021-04-16,1.6,0.497,UCSB-IZC00045499,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3S,2021-04-16,1.6,0.497,UCSB-IZC00045499,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3S,2021-04-16,1.6,0.497,UCSB-IZC00045499,Rodentia sp.,Rodentia,0,Vertebrate
AB3S,2021-04-16,1.6,0.497,UCSB-IZC00045499,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3S,2021-04-16,1.6,0.497,UCSB-IZC00045499,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
Pyramid Rock,2020-12-12,2.2,1.062,UCSB-IZC00045511,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
Pyramid Rock,2020-12-12,2.2,1.062,UCSB-IZC00045511,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
Pyramid Rock,2020-12-12,2.2,1.062,UCSB-IZC00045511,"Calathus sp. Bonelli, 1810",Calathus,12,Invertebrate
Pyramid Rock,2020-12-12,2.2,1.062,UCSB-IZC00045511,"Forficula auricularia Linnaeus, 1758",Forficula,41,Invertebrate
Pyramid Rock,2020-12-12,2.2,1.062,UCSB-IZC00045511,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
Pyramid Rock,2020-12-12,2.2,1.062,UCSB-IZC00045511,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,1,Vertebrate
Pyramid Rock,2020-12-12,2.2,1.062,UCSB-IZC00045511,Rodentia sp.,Rodentia,0,Vertebrate
Pyramid Rock,2020-12-12,2.2,1.062,UCSB-IZC00045511,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
Pyramid Rock,2020-12-12,2.2,1.062,UCSB-IZC00045511,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
Pyramid Rock,2020-12-21,2,0.433,UCSB-IZC00045535,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
Pyramid Rock,2020-12-21,2,0.433,UCSB-IZC00045535,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
Pyramid Rock,2020-12-21,2,0.433,UCSB-IZC00045535,"Calathus sp. Bonelli, 1810",Calathus,1,Invertebrate
Pyramid Rock,2020-12-21,2,0.433,UCSB-IZC00045535,"Forficula auricularia Linnaeus, 1758",Forficula,6,Invertebrate
Pyramid Rock,2020-12-21,2,0.433,UCSB-IZC00045535,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
Pyramid Rock,2020-12-21,2,0.433,UCSB-IZC00045535,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,2,Vertebrate
Pyramid Rock,2020-12-21,2,0.433,UCSB-IZC00045535,Rodentia sp.,Rodentia,0,Vertebrate
Pyramid Rock,2020-12-21,2,0.433,UCSB-IZC00045535,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
Pyramid Rock,2020-12-21,2,0.433,UCSB-IZC00045535,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3S,2021-04-16,1.8,0.547,UCSB-IZC00045907,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3S,2021-04-16,1.8,0.547,UCSB-IZC00045907,"Armadillidium sp. Brandt, 1831",Armadillidium,60,Invertebrate
AB3S,2021-04-16,1.8,0.547,UCSB-IZC00045907,"Calathus sp. Bonelli, 1810",Calathus,56,Invertebrate
AB3S,2021-04-16,1.8,0.547,UCSB-IZC00045907,"Forficula auricularia Linnaeus, 1758",Forficula,0,Invertebrate
AB3S,2021-04-16,1.8,0.547,UCSB-IZC00045907,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3S,2021-04-16,1.8,0.547,UCSB-IZC00045907,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3S,2021-04-16,1.8,0.547,UCSB-IZC00045907,Rodentia sp.,Rodentia,0,Vertebrate
AB3S,2021-04-16,1.8,0.547,UCSB-IZC00045907,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3S,2021-04-16,1.8,0.547,UCSB-IZC00045907,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3S,2021-04-16,1.8,0.291,UCSB-IZC00045913,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3S,2021-04-16,1.8,0.291,UCSB-IZC00045913,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB3S,2021-04-16,1.8,0.291,UCSB-IZC00045913,"Calathus sp. Bonelli, 1810",Calathus,7,Invertebrate
AB3S,2021-04-16,1.8,0.291,UCSB-IZC00045913,"Forficula auricularia Linnaeus, 1758",Forficula,11,Invertebrate
AB3S,2021-04-16,1.8,0.291,UCSB-IZC00045913,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3S,2021-04-16,1.8,0.291,UCSB-IZC00045913,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3S,2021-04-16,1.8,0.291,UCSB-IZC00045913,Rodentia sp.,Rodentia,0,Vertebrate
