siteID,dateCollected,pelletLength,pelletDryMass,pelletID,species,genus,numberOfIndividuals,vertOrInvert
AB3S,2021-04-16,1.8,0.291,UCSB-IZC00045913,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3S,2021-04-16,1.8,0.291,UCSB-IZC00045913,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3S,2021-04-16,1.6,0.441,UCSB-IZC00045947,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3S,2021-04-16,1.6,0.441,UCSB-IZC00045947,"Armadillidium sp. Brandt, 1831",Armadillidium,39,Invertebrate
AB3S,2021-04-16,1.6,0.441,UCSB-IZC00045947,"Calathus sp. Bonelli, 1810",Calathus,23,Invertebrate
AB3S,2021-04-16,1.6,0.441,UCSB-IZC00045947,"Forficula auricularia Linnaeus, 1758",Forficula,16,Invertebrate
AB3S,2021-04-16,1.6,0.441,UCSB-IZC00045947,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3S,2021-04-16,1.6,0.441,UCSB-IZC00045947,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3S,2021-04-16,1.6,0.441,UCSB-IZC00045947,Rodentia sp.,Rodentia,0,Vertebrate
AB3S,2021-04-16,1.6,0.441,UCSB-IZC00045947,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3S,2021-04-16,1.6,0.441,UCSB-IZC00045947,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3S,2021-04-16,2.3,0.616,UCSB-IZC00045948,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3S,2021-04-16,2.3,0.616,UCSB-IZC00045948,"Armadillidium sp. Brandt, 1831",Armadillidium,2,Invertebrate
AB3S,2021-04-16,2.3,0.616,UCSB-IZC00045948,"Calathus sp. Bonelli, 1810",Calathus,3,Invertebrate
AB3S,2021-04-16,2.3,0.616,UCSB-IZC00045948,"Forficula auricularia Linnaeus, 1758",Forficula,12,Invertebrate
AB3S,2021-04-16,2.3,0.616,UCSB-IZC00045948,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3S,2021-04-16,2.3,0.616,UCSB-IZC00045948,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3S,2021-04-16,2.3,0.616,UCSB-IZC00045948,Rodentia sp.,Rodentia,0,Vertebrate
AB3S,2021-04-16,2.3,0.616,UCSB-IZC00045948,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3S,2021-04-16,2.3,0.616,UCSB-IZC00045948,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
Pyramid Rock,2020-12-21,2.9,0.917,UCSB-IZC00045957,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
Pyramid Rock,2020-12-21,2.9,0.917,UCSB-IZC00045957,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
Pyramid Rock,2020-12-21,2.9,0.917,UCSB-IZC00045957,"Calathus sp. Bonelli, 1810",Calathus,0,Invertebrate
Pyramid Rock,2020-12-21,2.9,0.917,UCSB-IZC00045957,"Forficula auricularia Linnaeus, 1758",Forficula,8,Invertebrate
Pyramid Rock,2020-12-21,2.9,0.917,UCSB-IZC00045957,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
Pyramid Rock,2020-12-21,2.9,0.917,UCSB-IZC00045957,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
Pyramid Rock,2020-12-21,2.9,0.917,UCSB-IZC00045957,Rodentia sp.,Rodentia,0,Vertebrate
Pyramid Rock,2020-12-21,2.9,0.917,UCSB-IZC00045957,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
Pyramid Rock,2020-12-21,2.9,0.917,UCSB-IZC00045957,"Vespula sp. Thomson, 1869",Vespula,2,Invertebrate
H31,2020-02-10,1.9,0.51,UCSB-IZC00046046,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
H31,2020-02-10,1.9,0.51,UCSB-IZC00046046,"Armadillidium sp. Brandt, 1831",Armadillidium,1,Invertebrate
H31,2020-02-10,1.9,0.51,UCSB-IZC00046046,"Calathus sp. Bonelli, 1810",Calathus,2,Invertebrate
H31,2020-02-10,1.9,0.51,UCSB-IZC00046046,"Forficula auricularia Linnaeus, 1758",Forficula,16,Invertebrate
H31,2020-02-10,1.9,0.51,UCSB-IZC00046046,"Mus musculus Linnaeus, 1758",Mus,1,Vertebrate
H31,2020-02-10,1.9,0.51,UCSB-IZC00046046,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
H31,2020-02-10,1.9,0.51,UCSB-IZC00046046,Rodentia sp.,Rodentia,0,Vertebrate
H31,2020-02-10,1.9,0.51,UCSB-IZC00046046,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
H31,2020-02-10,1.9,0.51,UCSB-IZC00046046,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3,2021-04-16,2.2,0.344,UCSB-IZC00046051,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3,2021-04-16,2.2,0.344,UCSB-IZC00046051,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB3,2021-04-16,2.2,0.344,UCSB-IZC00046051,"Calathus sp. Bonelli, 1810",Calathus,1,Invertebrate
AB3,2021-04-16,2.2,0.344,UCSB-IZC00046051,"Forficula auricularia Linnaeus, 1758",Forficula,25,Invertebrate
AB3,2021-04-16,2.2,0.344,UCSB-IZC00046051,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3,2021-04-16,2.2,0.344,UCSB-IZC00046051,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3,2021-04-16,2.2,0.344,UCSB-IZC00046051,Rodentia sp.,Rodentia,0,Vertebrate
AB3,2021-04-16,2.2,0.344,UCSB-IZC00046051,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3,2021-04-16,2.2,0.344,UCSB-IZC00046051,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3S,2021-04-16,2,0.738,UCSB-IZC00046321,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3S,2021-04-16,2,0.738,UCSB-IZC00046321,"Armadillidium sp. Brandt, 1831",Armadillidium,90,Invertebrate
AB3S,2021-04-16,2,0.738,UCSB-IZC00046321,"Calathus sp. Bonelli, 1810",Calathus,4,Invertebrate
AB3S,2021-04-16,2,0.738,UCSB-IZC00046321,"Forficula auricularia Linnaeus, 1758",Forficula,16,Invertebrate
AB3S,2021-04-16,2,0.738,UCSB-IZC00046321,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3S,2021-04-16,2,0.738,UCSB-IZC00046321,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3S,2021-04-16,2,0.738,UCSB-IZC00046321,Rodentia sp.,Rodentia,0,Vertebrate
AB3S,2021-04-16,2,0.738,UCSB-IZC00046321,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3S,2021-04-16,2,0.738,UCSB-IZC00046321,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3,2021-04-16,3.1,0.833,UCSB-IZC00046340,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3,2021-04-16,3.1,0.833,UCSB-IZC00046340,"Armadillidium sp. Brandt, 1831",Armadillidium,69,Invertebrate
AB3,2021-04-16,3.1,0.833,UCSB-IZC00046340,"Calathus sp. Bonelli, 1810",Calathus,0,Invertebrate
AB3,2021-04-16,3.1,0.833,UCSB-IZC00046340,"Forficula auricularia Linnaeus, 1758",Forficula,72,Invertebrate
AB3,2021-04-16,3.1,0.833,UCSB-IZC00046340,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3,2021-04-16,3.1,0.833,UCSB-IZC00046340,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3,2021-04-16,3.1,0.833,UCSB-IZC00046340,Rodentia sp.,Rodentia,1,Vertebrate
AB3,2021-04-16,3.1,0.833,UCSB-IZC00046340,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3,2021-04-16,3.1,0.833,UCSB-IZC00046340,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB2,2021-04-16,1.9,0.906,UCSB-IZC00046345,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB2,2021-04-16,1.9,0.906,UCSB-IZC00046345,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB2,2021-04-16,1.9,0.906,UCSB-IZC00046345,"Calathus sp. Bonelli, 1810",Calathus,3,Invertebrate
AB2,2021-04-16,1.9,0.906,UCSB-IZC00046345,"Forficula auricularia Linnaeus, 1758",Forficula,18,Invertebrate
AB2,2021-04-16,1.9,0.906,UCSB-IZC00046345,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB2,2021-04-16,1.9,0.906,UCSB-IZC00046345,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,1,Vertebrate
AB2,2021-04-16,1.9,0.906,UCSB-IZC00046345,Rodentia sp.,Rodentia,0,Vertebrate
AB2,2021-04-16,1.9,0.906,UCSB-IZC00046345,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB2,2021-04-16,1.9,0.906,UCSB-IZC00046345,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB2S,2020-02-12,NA,NA,UCSB-IZC00046358,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB2S,2020-02-12,NA,NA,UCSB-IZC00046358,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB2S,2020-02-12,NA,NA,UCSB-IZC00046358,"Calathus sp. Bonelli, 1810",Calathus,1,Invertebrate
AB2S,2020-02-12,NA,NA,UCSB-IZC00046358,"Forficula auricularia Linnaeus, 1758",Forficula,13,Invertebrate
AB2S,2020-02-12,NA,NA,UCSB-IZC00046358,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB2S,2020-02-12,NA,NA,UCSB-IZC00046358,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB2S,2020-02-12,NA,NA,UCSB-IZC00046358,Rodentia sp.,Rodentia,2,Vertebrate
AB2S,2020-02-12,NA,NA,UCSB-IZC00046358,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB2S,2020-02-12,NA,NA,UCSB-IZC00046358,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
H31,2020-10-12,3.5,1.801,UCSB-IZC00046363,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
H31,2020-10-12,3.5,1.801,UCSB-IZC00046363,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
H31,2020-10-12,3.5,1.801,UCSB-IZC00046363,"Calathus sp. Bonelli, 1810",Calathus,3,Invertebrate
H31,2020-10-12,3.5,1.801,UCSB-IZC00046363,"Forficula auricularia Linnaeus, 1758",Forficula,17,Invertebrate
H31,2020-10-12,3.5,1.801,UCSB-IZC00046363,"Mus musculus Linnaeus, 1758",Mus,2,Vertebrate
H31,2020-10-12,3.5,1.801,UCSB-IZC00046363,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
H31,2020-10-12,3.5,1.801,UCSB-IZC00046363,Rodentia sp.,Rodentia,0,Vertebrate
H31,2020-10-12,3.5,1.801,UCSB-IZC00046363,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
H31,2020-10-12,3.5,1.801,UCSB-IZC00046363,"Vespula sp. Thomson, 1869",Vespula,1,Invertebrate
Pyramid Rock,2020-12-21,NA,0.312,UCSB-IZC00046381,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
Pyramid Rock,2020-12-21,NA,0.312,UCSB-IZC00046381,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
Pyramid Rock,2020-12-21,NA,0.312,UCSB-IZC00046381,"Calathus sp. Bonelli, 1810",Calathus,6,Invertebrate
Pyramid Rock,2020-12-21,NA,0.312,UCSB-IZC00046381,"Forficula auricularia Linnaeus, 1758",Forficula,29,Invertebrate
Pyramid Rock,2020-12-21,NA,0.312,UCSB-IZC00046381,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
Pyramid Rock,2020-12-21,NA,0.312,UCSB-IZC00046381,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
Pyramid Rock,2020-12-21,NA,0.312,UCSB-IZC00046381,Rodentia sp.,Rodentia,0,Vertebrate
Pyramid Rock,2020-12-21,NA,0.312,UCSB-IZC00046381,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
Pyramid Rock,2020-12-21,NA,0.312,UCSB-IZC00046381,"Vespula sp. Thomson, 1869",Vespula,1,Invertebrate
AB3S,2021-04-16,2.8,0.97,UCSB-IZC00046453,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3S,2021-04-16,2.8,0.97,UCSB-IZC00046453,"Armadillidium sp. Brandt, 1831",Armadillidium,4,Invertebrate
AB3S,2021-04-16,2.8,0.97,UCSB-IZC00046453,"Calathus sp. Bonelli, 1810",Calathus,0,Invertebrate
AB3S,2021-04-16,2.8,0.97,UCSB-IZC00046453,"Forficula auricularia Linnaeus, 1758",Forficula,22,Invertebrate
AB3S,2021-04-16,2.8,0.97,UCSB-IZC00046453,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3S,2021-04-16,2.8,0.97,UCSB-IZC00046453,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,5,Vertebrate
AB3S,2021-04-16,2.8,0.97,UCSB-IZC00046453,Rodentia sp.,Rodentia,0,Vertebrate
AB3S,2021-04-16,2.8,0.97,UCSB-IZC00046453,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3S,2021-04-16,2.8,0.97,UCSB-IZC00046453,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
AB3S,2021-04-16,2.9,0.507,UCSB-IZC00046468,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
AB3S,2021-04-16,2.9,0.507,UCSB-IZC00046468,"Armadillidium sp. Brandt, 1831",Armadillidium,15,Invertebrate
AB3S,2021-04-16,2.9,0.507,UCSB-IZC00046468,"Calathus sp. Bonelli, 1810",Calathus,0,Invertebrate
AB3S,2021-04-16,2.9,0.507,UCSB-IZC00046468,"Forficula auricularia Linnaeus, 1758",Forficula,14,Invertebrate
AB3S,2021-04-16,2.9,0.507,UCSB-IZC00046468,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
AB3S,2021-04-16,2.9,0.507,UCSB-IZC00046468,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3S,2021-04-16,2.9,0.507,UCSB-IZC00046468,Rodentia sp.,Rodentia,0,Vertebrate
AB3S,2021-04-16,2.9,0.507,UCSB-IZC00046468,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3S,2021-04-16,2.9,0.507,UCSB-IZC00046468,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
H31,2020-12-21,3.2,0.754,UCSB-IZC00046741,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
H31,2020-12-21,3.2,0.754,UCSB-IZC00046741,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
H31,2020-12-21,3.2,0.754,UCSB-IZC00046741,"Calathus sp. Bonelli, 1810",Calathus,14,Invertebrate
H31,2020-12-21,3.2,0.754,UCSB-IZC00046741,"Forficula auricularia Linnaeus, 1758",Forficula,12,Invertebrate
H31,2020-12-21,3.2,0.754,UCSB-IZC00046741,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
H31,2020-12-21,3.2,0.754,UCSB-IZC00046741,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,2,Vertebrate
H31,2020-12-21,3.2,0.754,UCSB-IZC00046741,Rodentia sp.,Rodentia,0,Vertebrate
H31,2020-12-21,3.2,0.754,UCSB-IZC00046741,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
H31,2020-12-21,3.2,0.754,UCSB-IZC00046741,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
H32,2020-12-22,2.7,1.204,UCSB-IZC00046796,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
H32,2020-12-22,2.7,1.204,UCSB-IZC00046796,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
H32,2020-12-22,2.7,1.204,UCSB-IZC00046796,"Calathus sp. Bonelli, 1810",Calathus,54,Invertebrate
H32,2020-12-22,2.7,1.204,UCSB-IZC00046796,"Forficula auricularia Linnaeus, 1758",Forficula,11,Invertebrate
H32,2020-12-22,2.7,1.204,UCSB-IZC00046796,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
H32,2020-12-22,2.7,1.204,UCSB-IZC00046796,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,5,Vertebrate
H32,2020-12-22,2.7,1.204,UCSB-IZC00046796,Rodentia sp.,Rodentia,0,Vertebrate
H32,2020-12-22,2.7,1.204,UCSB-IZC00046796,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
H32,2020-12-22,2.7,1.204,UCSB-IZC00046796,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
Pyramid Rock,2020-12-22,3.3,0.902,UCSB-IZC00046831,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
Pyramid Rock,2020-12-22,3.3,0.902,UCSB-IZC00046831,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
Pyramid Rock,2020-12-22,3.3,0.902,UCSB-IZC00046831,"Calathus sp. Bonelli, 1810",Calathus,31,Invertebrate
Pyramid Rock,2020-12-22,3.3,0.902,UCSB-IZC00046831,"Forficula auricularia Linnaeus, 1758",Forficula,28,Invertebrate
Pyramid Rock,2020-12-22,3.3,0.902,UCSB-IZC00046831,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
Pyramid Rock,2020-12-22,3.3,0.902,UCSB-IZC00046831,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
Pyramid Rock,2020-12-22,3.3,0.902,UCSB-IZC00046831,Rodentia sp.,Rodentia,2,Vertebrate
Pyramid Rock,2020-12-22,3.3,0.902,UCSB-IZC00046831,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
Pyramid Rock,2020-12-22,3.3,0.902,UCSB-IZC00046831,"Vespula sp. Thomson, 1869",Vespula,0,Invertebrate
H31,2020-12-10,3.2,0.754,UCSB-IZC00046795,"Ammopelmatus sp. Tinkham, 1965",Ammopelmatus,0,Invertebrate
H31,2020-12-10,3.2,0.754,UCSB-IZC00046795,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
H31,2020-12-10,3.2,0.754,UCSB-IZC00046795,"Calathus sp. Bonelli, 1810",Calathus,0,Invertebrate
H31,2020-12-10,3.2,0.754,UCSB-IZC00046795,"Forficula auricularia Linnaeus, 1758",Forficula,0,Invertebrate
H31,2020-12-10,3.2,0.754,UCSB-IZC00046795,"Mus musculus Linnaeus, 1758",Mus,0,Vertebrate
H31,2020-12-10,3.2,0.754,UCSB-IZC00046795,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
H31,2020-12-10,3.2,0.754,UCSB-IZC00046795,Rodentia sp.,Rodentia,0,Vertebrate
H31,2020-12-10,3.2,0.754,UCSB-IZC00046795,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
H31,2020-12-10,3.2,0.754,UCSB-IZC00046795,"Vespula sp. Thomson, 1869",Vespula,36,Invertebrate